"","Artist","not","Fri_Sat","ratio"
"224","Calvin Harris",450481,475343,1.05518989702118
"225","The Chainsmokers",272045,286726.5,1.05396717454833
"226","Panic! At The Disco",372171,392143,1.05366350414191
"227","Tee Grizzley",216067,227588,1.05332142344736
"228","Ozuna",218561.5,229913,1.05193732656483
"229","Kodak Black",275852,290167,1.05189376912257
"230","Maluma",219266,230621,1.05178641467441
"231","Zac Efron",245996,258568,1.05110652205727
"232","Vice",213153,224040,1.05107598767083
"233","Rae Sremmurd",291592,306385,1.05073184449505
"234","Anuel Aa",305651,321102,1.05055111875963
"235","XXXTENTACION",385440,404817,1.05027241594022
"236","Jeremih",159343,167299,1.04993002516584
"237","Jon Bellion",334592,351268,1.04983980489671
"238","Carnage",270292.5,283618,1.04930029505073
"239","Tory Lanez",235787,247257.5,1.04864772018814
"240","Mustard",328823,344644,1.04811403095282
"241","Vince Guaraldi Trio",353227,370196,1.0480399289975
"242","A Boogie Wit da Hoodie",352388,369179,1.04764918215149
"243","Daniel Caesar",197740,207138,1.04752705572975
"244","Devin Dawson",205536,215286,1.04743694535264
"245","Thomas Rhett",229679,240517.5,1.04718977355352
"246","Wiz Khalifa",315143,330001.5,1.04714843737605
